"Word","IdNum","Class","HeadCnt","MannLog"
"                     Abbau",25,"N",5,1.1761
"                     Abend",108,"N",5,2.1239
"                     Abgas",208,"N",5,0.4771
"                     Abriss",537,"N",5,0.301
"                     Abruf",541,"N",5,0.301
"                     Abtei",820,"N",5,0.6021
"                     Abzug",951,"N",5,1.5315
"                     Achse",978,"N",5,1
"                     Adler",1135,"N",5,0.8451
"                     Adria",1165,"N",5,0.699
"                     Agent",1261,"N",5,1.2553
"                     Aktie",1429,"N",5,1.9243
"                     Aktiv",1445,"N",5,1.0414
"                     Alarm",1499,"N",5,0.7782
"                     Alibi",1560,"N",5,0.6021
"                     Allee",1608,"N",5,1.301
"                     Alpha",1783,"N",5,1
"                     Altar",1807,"N",5,0.9031
"                     Alter",1828,"N",5,1.7243
"                     Ampel",2023,"N",5,0.301
"                     Anbau",2154,"N",5,0.8451
"                     Angel",2378,"N",5,0.699
"                     Angst",2449,"N",5,2.0086
"                     Anken",2532,"N",5,0.4771
"                     Anker",2534,"N",5,0.4771
"                     Anlass",2589,"N",5,1.8976
"                     Anmut",2654,"N",5,0.6021
"                     Anruf",2778,"N",5,1.1761
"                     Anzug",3183,"N",5,1.2553
"                     Apfel",3210,"N",5,1.0792
"                     April",3309,"N",5,2.3802
"                     Arche",3437,"N",5,0.4771
"                     Arena",3453,"N",5,0.7782
"                     Aerger",3462,"N",5,1.3617
"                     Armee",3532,"N",5,1.8325
"                     Aermel",3534,"N",5,0.9031
"                     Armut",3560,"N",5,1.1461
"                     Aroma",3563,"N",5,0.301
"                     Asche",3650,"N",5,0.699
"                     Asiat",3675,"N",5,0.6021
"                     Asien",3677,"N",5,1.5441
"                     Asket",3681,"N",5,0.301
"                     Athen",3820,"N",5,1.5051
"                     Atlas",3843,"N",5,0.699
"                     Autor",5590,"N",5,1.7853
"                     Bacon",5694,"N",5,0.4771
"                     Bahre",5736,"N",5,0.4771
"                     Bande",5824,"N",5,0.7782
"                     Baron",5926,"N",5,0.9542
"                     Basar",5956,"N",5,0.301
"                     Basis",5963,"N",5,1.7404
"                     Bauch",6006,"N",5,1.1761
"                     Bauer",6030,"N",5,1.716
"                     Bauer",6031,"N",5,1.716
"                     Bauer",6032,"N",5,1.7076
"                     Bayer",6115,"N",5,2.0212
"                     Beben",6167,"N",5,0.301
"                     Beleg",6705,"N",5,0.4771
"                     Beruf",6932,"N",5,1.9395
"                     Besen",7074,"N",5,0.301
"                     Beton",7237,"N",5,1.1139
"                     Beute",7305,"N",5,1.2788
"                     Bezug",7422,"N",5,1.4914
"                     Bibel",7435,"N",5,1.0414
"                     Biene",7461,"N",5,0.8451
"                     Binge",7547,"N",5,0.699
"                     Birke",7581,"N",5,0.4771
"                     Birne",7583,"N",5,0.6021
"                     Bitte",7613,"N",5,1.3424
"                     Blase",7644,"N",5,0.6021
"                     Blatt",7665,"N",5,1.8633
"                     Blech",7696,"N",5,1.4314
"                     Blick",7734,"N",5,2.2455
"                     Blitz",7756,"N",5,1.0414
"                     Bloch",7764,"N",5,0.301
"                     Block",7767,"N",5,0.9031
"                     Block",7768,"N",5,0.9031
"                     Bloesse",7797,"N",5,0.301
"                     Blues",7801,"N",5,0.301
"                     Bluff",7802,"N",5,0.9031
"                     Blume",7806,"N",5,1.5051
"                     Bluse",7814,"N",5,0.7782
"                     Bluete",7829,"N",5,1.2304
"                     Boden",7884,"N",5,2.1847
"                     Bogen",7898,"N",5,1.1761
"                     Bohle",7905,"N",5,0.4771
"                     Boehme",7906,"N",5,0.301
"                     Bohne",7909,"N",5,0.7782
"                     Bombe",7937,"N",5,1.4771
"                     Bonus",7952,"N",5,0.699
"                     Boerse",7980,"N",5,1.8451
"                     Boxer",8038,"N",5,0.9031
"                     Brand",8073,"N",5,1.4472
"                     Braue",8108,"N",5,0.6021
"                     Braun",8112,"N",5,0.7782
"                     Braut",8128,"N",5,1.301
"                     Breme",8165,"N",5,1.6902
"                     Brett",8184,"N",5,1.0414
"                     Brief",8193,"N",5,2.1523
"                     Bruch",8259,"N",5,1.0414
"                     Bruch",8260,"N",5,1.0414
"                     Bruehe",8276,"N",5,0.301
"                     Brunn",8289,"N",5,0.699
"                     Brust",8301,"N",5,1.6335
"                     Buche",8321,"N",5,0.6021
"                     Bucht",8339,"N",5,1.0792
"                     Buegel",8362,"N",5,0.6021
"                     Buehne",8374,"N",5,1.7559
"                     Bulle",8381,"N",5,0.6021
"                     Bulle",8382,"N",5,0.6021
"                     Buerde",8420,"N",5,0.4771
"                     Busch",8442,"N",5,1.1139
"                     Busen",8447,"N",5,0.699
"                     Chaos",8497,"N",5,1
"                     China",8514,"N",5,2.017
"                     Chlor",8521,"N",5,0.4771
"                     Chrom",8549,"N",5,0.301
"                     Clown",8555,"N",5,1.0414
"                     Daemon",8633,"N",5,1
"                     Dampf",8638,"N",5,0.7782
"                     Datum",8702,"N",5,1.5315
"                     Dauer",8705,"N",5,1.7324
"                     Deich",8771,"N",5,0.4771
"                     Dekan",8786,"N",5,0.7782
"                     Dekor",8798,"N",5,0.301
"                     Delta",8818,"N",5,0.301
"                     Demut",8860,"N",5,0.4771
"                     Depot",8902,"N",5,0.8451
"                     Derby",8911,"N",5,0.4771
"                     Diele",9087,"N",5,1.1761
"                     Dinar",9167,"N",5,0.4771
"                     Dirne",9195,"N",5,0.301
"                     Dogma",9288,"N",5,0.699
"                     Dolch",9302,"N",5,0.4771
"                     Dosis",9379,"N",5,0.4771
"                     Draht",9390,"N",5,1.0414
"                     Drama",9397,"N",5,1.4314
"                     Drang",9404,"N",5,1.2553
"                     Dreck",9421,"N",5,0.9031
"                     Drink",9474,"N",5,0.301
"                     Droge",9482,"N",5,0.301
"                     Druck",9501,"N",5,1.7076
"                     Druck",9504,"N",5,1.7076
"                     Druese",9516,"N",5,0.301
"                     Duell",9529,"N",5,0.9542
"                     Dunst",9568,"N",5,0.7782
"                     Duerre",9850,"N",5,0.6021
"                     Durst",9853,"N",5,1
"                     Ebene",9897,"N",5,1.7559
"                     Echse",9918,"N",5,0.301
"                     Eiche",10033,"N",5,0.699
"                     Eifel",10060,"N",5,0.7782
"                     Eifer",10062,"N",5,1.1139
"                     Eimer",10111,"N",5,0.7782
"                     Einer",10204,"N",5,0.4771
"                     Eisen",10784,"N",5,1.3222
"                     Elend",10876,"N",5,1.2304
"                     Elite",10892,"N",5,0.699
"                     Elter",10905,"N",5,1.9294
"                     Engel",11013,"N",5,1.5051
"                     Enkel",11027,"N",5,1.0414
"                     Enzym",11401,"N",5,0.301
"                     Erbse",11496,"N",5,0.301
"                     Erlass",11709,"N",5,1
"                     Erloes",11749,"N",5,1.1139
"                     Ernst",11803,"N",5,1.9685
"                     Ernte",11811,"N",5,1.3802
"                     Essay",12130,"N",5,0.699
"                     Essen",12136,"N",5,1.9731
"                     Essig",12142,"N",5,0.301
"                     Etage",12160,"N",5,1.1761
"                     Ethik",12165,"N",5,0.4771
"                     Ethos",12172,"N",5,1.301
"                     Etwas",12181,"N",5,0.4771
"                     Fabel",12396,"N",5,0.699
"                     Faden",12446,"N",5,0.9031
"                     Faden",12447,"N",5,0.9031
"                     Fahne",12461,"N",5,1.4472
"                     Faehre",12470,"N",5,0.6021
"                     Fahrt",12491,"N",5,1.8129
"                     Falke",12518,"N",5,0.7782
"                     Falle",12524,"N",5,1.5185
"                     Falte",12555,"N",5,0.699
"                     Farbe",12583,"N",5,1.8325
"                     Farce",12603,"N",5,0.4771
"                     Faerse",12610,"N",5,0.301
"                     Faser",12623,"N",5,0.8451
"                     Faust",12672,"N",5,1.5682
"                     Fazit",12685,"N",5,0.699
"                     Feder",12691,"N",5,1.2788
"                     Fehde",12708,"N",5,0.301
"                     Feier",12730,"N",5,1.0414
"                     Feind",12756,"N",5,1.699
"                     Felge",12792,"N",5,0.301
"                     Ferse",12864,"N",5,0.301
"                     Feuer",12994,"N",5,1.7324
"                     Fibel",13024,"N",5,0.301
"                     Fidel",13038,"N",5,0.699
"                     Figur",13055,"N",5,1.6335
"                     Finne",13137,"N",5,0.4771
"                     Finne",13138,"N",5,0.4771
"                     Firma",13153,"N",5,2.1038
"                     First",13163,"N",5,0.7782
"                     Fisch",13167,"N",5,1.5315
"                     Flach",13205,"N",5,0.301
"                     Fleck",13270,"N",5,0.7782
"                     Fleiss",13298,"N",5,1.0414
"                     Flirt",13340,"N",5,0.4771
"                     Flora",13354,"N",5,0.301
"                     Floete",13365,"N",5,0.699
"                     Fluch",13378,"N",5,0.7782
"                     Folge",13468,"N",5,2.2201
"                     Folie",13487,"N",5,0.6021
"                     Fonds",13506,"N",5,0.7782
"                     Forst",13579,"N",5,0.8451
"                     Forum",13650,"N",5,1.1139
"                     Frage",13673,"N",5,2.9542
"                     Fraese",13712,"N",5,0.301
"                     Fries",13842,"N",5,0.4771
"                     Frist",13861,"N",5,1.2788
"                     Front",13891,"N",5,1.9294
"                     Frost",13901,"N",5,1.1139
"                     Fruehe",13926,"N",5,0.4771
"                     Fuchs",13940,"N",5,0.9031
"                     Fuehre",13965,"N",5,0.301
"                     Fuelle",13971,"N",5,1.4771
"                     Funke",14008,"N",5,0.4771
"                     Fuerst",14052,"N",5,1.3222
"                     Gabel",14105,"N",5,0.6021
"                     Galle",14131,"N",5,0.7782
"                     Garde",14202,"N",5,0.699
"                     Gasse",14244,"N",5,0.8451
"                     Gatte",14267,"N",5,0.7782
"                     Gebet",14303,"N",5,1.0414
"                     Gebiss",14315,"N",5,0.7782
"                     Gebot",14323,"N",5,1.1761
"                     Gefaess",14417,"N",5,0.699
"                     Gehen",14537,"N",5,0.699
"                     Gehoer",14552,"N",5,0.9031
"                     Geier",14568,"N",5,0.4771
"                     Geige",14570,"N",5,0.4771
"                     Geist",14583,"N",5,2.0607
"                     Gemuet",14727,"N",5,1.0414
"                     Genie",14781,"N",5,1.0792
"                     Genre",14800,"N",5,0.6021
"                     Genuss",14811,"N",5,1.2788
"                     Geraet",14856,"N",5,1.7559
"                     Gesaess",14924,"N",5,0.301
"                     Geste",15065,"N",5,1.2041
"                     Glanz",15274,"N",5,1.2788
"                     Gleis",15357,"N",5,0.9031
"                     Glied",15367,"N",5,1.3802
"                     Glueck",15411,"N",5,1.9777
"                     Gnade",15442,"N",5,1
"                     Gotik",15488,"N",5,0.301
"                     Gramm",15563,"N",5,1.1139
"                     Greis",15644,"N",5,0.699
"                     Griff",15684,"N",5,1.3222
"                     Groll",15712,"N",5,0.301
"                     Groesse",15724,"N",5,1.8751
"                     Grube",15784,"N",5,1.301
"                     Grund",15796,"N",5,2.6444
"                     Gruene",15854,"N",5,0.4771
"                     Gruene",15855,"N",5,0.4771
"                     Gummi",15892,"N",5,0.699
"                     Gunst",15901,"N",5,1.0414
"                     Gurke",15907,"N",5,0.4771
"                     Hafen",16020,"N",5,1.6628
"                     Hafer",16024,"N",5,1.2788
"                     Hagel",16046,"N",5,0.301
"                     Hagen",16049,"N",5,0.8451
"                     Haken",16071,"N",5,1
"                     Halde",16110,"N",5,0.699
"                     Halle",16120,"N",5,1.5682
"                     Hallo",16123,"N",5,0.301
"                     Hanse",16259,"N",5,0.8451
"                     Harke",16279,"N",5,0.301
"                     Haerte",16309,"N",5,1.2553
"                     Haube",16358,"N",5,0.4771
"                     Hauch",16361,"N",5,0.8451
"                     Haupt",16374,"N",5,1.1461
"                     Hebel",16479,"N",5,1.1761
"                     Hecht",16486,"N",5,0.301
"                     Heide",16529,"N",5,0.9542
"                     Heide",16530,"N",5,0.9542
"                     Helle",16692,"N",5,0.301
"                     Henne",16727,"N",5,0.7782
"                     Herde",16807,"N",5,1
"                     Hertz",16889,"N",5,0.301
"                     Heute",16993,"N",5,1
"                     Hilfe",17041,"N",5,2.3365
"                     Hirte",17302,"N",5,0.4771
"                     Hitze",17317,"N",5,1.2304
"                     Hobby",17325,"N",5,0.8451
"                     Hobel",17327,"N",5,0.301
"                     Hoehle",17569,"N",5,0.9542
"                     Hoelle",17599,"N",5,1.0414
"                     Honig",17656,"N",5,0.9031
"                     Horde",17679,"N",5,0.301
"                     Hoerer",17683,"N",5,1.6812
"                     Horst",17717,"N",5,1.7404
"                     Hotel",17735,"N",5,2.0719
"                     Huefte",17754,"N",5,0.8451
"                     Huegel",17760,"N",5,1.2304
"                     Huelle",17782,"N",5,0.8451
"                     Huelse",17784,"N",5,0.301
"                     Humor",17794,"N",5,1.0792
"                     Hunne",17836,"N",5,0.301
"                     Huerde",17845,"N",5,1.0792
"                     Husar",17855,"N",5,0.301
"                     Hueter",17867,"N",5,0.301
"                     Huette",17870,"N",5,1.4472
"                     Hyaene",17873,"N",5,0.8451
"                     Hymne",17899,"N",5,0.699
"                     Ideal",17929,"N",5,1.0792
"                     Idiot",17964,"N",5,0.6021
"                     Idyll",17972,"N",5,0.4771
"                     Imbiss",18044,"N",5,0.301
"                     Index",18182,"N",5,0.9542
"                     Indiz",18225,"N",5,0.8451
"                     Insel",18549,"N",5,1.8513
"                     Islam",18893,"N",5,0.4771
"                     Jacht",18914,"N",5,0.6021
"                     Jaeger",18935,"N",5,1.1761
"                     Japan",18980,"N",5,1.7709
"                     Jubel",19075,"N",5,0.9542
"                     Junge",19110,"N",5,1.8129
"                     Junge",19111,"N",5,1.8129
"                     Junta",19134,"N",5,0.7782
"                     Juwel",19165,"N",5,0.301
"                     Kabel",19177,"N",5,0.7782
